date,ticker,weight,universe,method
2021-09-01,NUE,0.24646067973612562,Equity,Max-Sharpe (tangency)
2021-09-01,NVDA,0.4933116134716569,Equity,Max-Sharpe (tangency)
2021-09-01,O,1.358800047111857e-17,Equity,Max-Sharpe (tangency)
2021-09-01,OXY,1.4819917576439712e-17,Equity,Max-Sharpe (tangency)
2021-09-01,PLD,4.987564678761601e-17,Equity,Max-Sharpe (tangency)
2021-09-01,PSA,0.18237529450575482,Equity,Max-Sharpe (tangency)
2021-09-01,QCOM,6.648229183681146e-17,Equity,Max-Sharpe (tangency)
2021-09-01,SBUX,1.389753155272984e-17,Equity,Max-Sharpe (tangency)
2021-09-01,SHW,5.389601488518273e-18,Equity,Max-Sharpe (tangency)
2021-09-01,SLB,5.2477567788873266e-18,Equity,Max-Sharpe (tangency)
2021-09-01,SO,1.506132961039163e-17,Equity,Max-Sharpe (tangency)
2021-09-01,T,6.61224973569709e-20,Equity,Max-Sharpe (tangency)
2021-09-01,TMUS,1.7816553707940174e-17,Equity,Max-Sharpe (tangency)
2021-09-01,TTWO,2.9817702644643456e-17,Equity,Max-Sharpe (tangency)
2021-09-01,UPS,0.043733550829097044,Equity,Max-Sharpe (tangency)
2021-09-01,USB,9.428132131068068e-18,Equity,Max-Sharpe (tangency)
2021-09-01,V,1.7389741382799946e-17,Equity,Max-Sharpe (tangency)
2021-09-01,WFC,1.1066138622338588e-17,Equity,Max-Sharpe (tangency)
2021-09-01,WMT,1.8211595194725055e-17,Equity,Max-Sharpe (tangency)
2021-09-01,XOM,1.874271126381256e-18,Equity,Max-Sharpe (tangency)
2021-10-01,ABBV,2.028228699902034e-18,Equity,Max-Sharpe (tangency)
2021-10-01,ABT,0.0,Equity,Max-Sharpe (tangency)
2021-10-01,ADBE,0.0,Equity,Max-Sharpe (tangency)
2021-10-01,AEP,0.0,Equity,Max-Sharpe (tangency)
2021-10-01,AMD,3.886718732965397e-17,Equity,Max-Sharpe (tangency)
2021-10-01,AMGN,6.336575157316382e-19,Equity,Max-Sharpe (tangency)
2021-10-01,AMT,6.135934736558742e-18,Equity,Max-Sharpe (tangency)
2021-10-01,BA,0.0,Equity,Max-Sharpe (tangency)
2021-10-01,CAT,0.0,Equity,Max-Sharpe (tangency)
2021-10-01,CCI,0.0,Equity,Max-Sharpe (tangency)
2021-10-01,CMCSA,0.0,Equity,Max-Sharpe (tangency)
2021-10-01,COP,4.253193476906388e-18,Equity,Max-Sharpe (tangency)
2021-10-01,CVX,3.0183400724108025e-18,Equity,Max-Sharpe (tangency)
2021-10-01,D,1.4473775051988115e-18,Equity,Max-Sharpe (tangency)
2021-10-01,DD,1.3569500054906363e-18,Equity,Max-Sharpe (tangency)
2021-10-01,DIS,1.3301200130494168e-18,Equity,Max-Sharpe (tangency)
2021-10-01,DOW,5.616781264574331e-18,Equity,Max-Sharpe (tangency)
2021-10-01,DUK,1.9097743807542246e-18,Equity,Max-Sharpe (tangency)
2021-10-01,EA,0.0,Equity,Max-Sharpe (tangency)
2021-10-01,GE,0.0,Equity,Max-Sharpe (tangency)
2021-10-01,GILD,0.0,Equity,Max-Sharpe (tangency)
2021-10-01,GS,0.0,Equity,Max-Sharpe (tangency)
2021-10-01,INTC,1.044510634224217e-18,Equity,Max-Sharpe (tangency)
2021-10-01,KO,1.8869649609798387e-18,Equity,Max-Sharpe (tangency)
2021-10-01,MMM,4.117799697372185e-19,Equity,Max-Sharpe (tangency)
2021-10-01,MRK,1.1233978266074566e-18,Equity,Max-Sharpe (tangency)
2021-10-01,MS,0.0,Equity,Max-Sharpe (tangency)
2021-10-01,NEE,0.0,Equity,Max-Sharpe (tangency)
2021-10-01,NEM,0.022183291229018482,Equity,Max-Sharpe (tangency)
2021-10-01,NKE,0.0,Equity,Max-Sharpe (tangency)
2021-10-01,NUE,0.18929227298317344,Equity,Max-Sharpe (tangency)
2021-10-01,NVDA,0.570380432709026,Equity,Max-Sharpe (tangency)
2021-10-01,O,5.375650113305507e-19,Equity,Max-Sharpe (tangency)
2021-10-01,OXY,5.81926443819944e-18,Equity,Max-Sharpe (tangency)
2021-10-01,PLD,0.0,Equity,Max-Sharpe (tangency)
2021-10-01,PSA,0.16662048541695063,Equity,Max-Sharpe (tangency)
2021-10-01,QCOM,0.0,Equity,Max-Sharpe (tangency)
2021-10-01,SBUX,9.017513379173166e-18,Equity,Max-Sharpe (tangency)
2021-10-01,SHW,0.0,Equity,Max-Sharpe (tangency)
2021-10-01,SLB,3.8168865528443404e-18,Equity,Max-Sharpe (tangency)
2021-10-01,SO,1.8144673533555675e-18,Equity,Max-Sharpe (tangency)
2021-10-01,T,0.0,Equity,Max-Sharpe (tangency)
2021-10-01,TMUS,0.0,Equity,Max-Sharpe (tangency)
2021-10-01,TTWO,0.0,Equity,Max-Sharpe (tangency)
