date,sector,sentiment,fear_greed,sentiment_lagged
2023-12-05,Consumer,0.1433,57.16,0.093698
2023-12-06,Consumer,0.00022044444444444534,50.01,0.1433
2023-12-07,Consumer,0.185815,59.29,0.00022044444444444534
2023-12-08,Consumer,0.02012300000000001,51.01,0.185815
2023-12-11,Consumer,0.0690215873015873,53.45,0.02012300000000001
2023-12-12,Consumer,0.04961133333333333,52.48,0.0690215873015873
2023-12-13,Consumer,0.0217835,51.09,0.04961133333333333
2023-12-14,Consumer,-0.008315000000000003,49.58,0.0217835
2023-12-15,Consumer,0.08458333333333333,54.23,-0.008315000000000003
2023-12-18,Consumer,-0.000711666666666666,49.96,0.08458333333333333
2020-01-02,Energy,0.011983333333333328,50.6,
2020-01-03,Energy,-0.11866809090909092,44.07,0.011983333333333328
2020-01-06,Energy,-0.013187196969696974,49.34,-0.11866809090909092
2020-01-07,Energy,-0.009894444444444437,49.51,-0.013187196969696974
2020-01-08,Energy,-0.10210333333333332,44.89,-0.009894444444444437
2020-01-09,Energy,-0.008277499999999998,49.59,-0.10210333333333332
2020-01-10,Energy,-0.200256,39.99,-0.008277499999999998
2020-01-13,Energy,0.063502,53.18,-0.200256
2020-01-14,Energy,0.04658166666666667,52.33,0.063502
2020-01-15,Energy,0.011300000000000001,50.57,0.04658166666666667
2020-01-16,Energy,0.19899238095238095,59.95,0.011300000000000001
2020-01-17,Energy,-0.004359722222222216,49.78,0.19899238095238095
2020-01-21,Energy,0.05289660714285714,52.64,-0.004359722222222216
2020-01-22,Energy,0.05346041666666666,52.67,0.05289660714285714
2020-01-23,Energy,0.046424666666666656,52.32,0.05346041666666666
2020-01-24,Energy,0.03700333333333333,51.85,0.046424666666666656
2020-01-27,Energy,0.049360833333333326,52.47,0.03700333333333333
2020-01-28,Energy,0.01741666666666667,50.87,0.049360833333333326
2020-01-29,Energy,-0.06769583333333333,46.62,0.01741666666666667
2020-01-30,Energy,-0.019088095238095237,49.05,-0.06769583333333333
2020-01-31,Energy,-0.0005198412698412703,49.97,-0.019088095238095237
2020-02-03,Energy,0.034207564102564106,51.71,-0.0005198412698412703
2020-02-04,Energy,-0.04180333333333333,47.91,0.034207564102564106
2020-02-05,Energy,0.2420249523809524,62.1,-0.04180333333333333
2020-02-06,Energy,0.10789499999999999,55.39,0.2420249523809524
2020-02-07,Energy,0.039543,51.98,0.10789499999999999
2020-02-10,Energy,0.016683333333333328,50.83,0.039543
2020-02-11,Energy,0.043153428571428565,52.16,0.016683333333333328
2020-02-12,Energy,0.01695083333333333,50.85,0.043153428571428565
2020-02-13,Energy,-0.006272916666666666,49.69,0.01695083333333333
2020-02-14,Energy,0.003974999999999999,50.2,-0.006272916666666666
2020-02-18,Energy,-0.008204166666666669,49.59,0.003974999999999999
2020-02-19,Energy,0.013272916666666666,50.66,-0.008204166666666669
2020-02-20,Energy,0.04521666666666666,52.26,0.013272916666666666
2020-02-21,Energy,-0.016864999999999998,49.16,0.04521666666666666
2020-02-24,Energy,-0.23225071428571428,38.39,-0.016864999999999998
2020-02-25,Energy,-0.13799666666666666,43.1,-0.23225071428571428
2020-02-26,Energy,0.04901857142857144,52.45,-0.13799666666666666
2020-02-27,Energy,0.03749466666666666,51.87,0.04901857142857144
2020-02-28,Energy,0.047421000000000005,52.37,0.03749466666666666
2020-03-02,Energy,-0.021518749999999996,48.92,0.047421000000000005
2020-03-03,Energy,-0.06497911111111111,46.75,-0.021518749999999996
2020-03-04,Energy,0.09923666666666667,54.96,-0.06497911111111111
2020-03-05,Energy,-0.10313416666666667,44.84,0.09923666666666667
2020-03-06,Energy,-0.16482071428571426,41.76,-0.10313416666666667
2020-03-09,Energy,-0.1054826894158473,44.73,-0.16482071428571426
2020-03-10,Energy,0.025369719806763287,51.27,-0.1054826894158473
2020-03-11,Energy,-0.04747339285714286,47.63,0.025369719806763287
2020-03-12,Energy,-0.10329263157894737,44.84,-0.04747339285714286
2020-03-13,Energy,0.17830338935574228,58.92,-0.10329263157894737
2020-03-16,Energy,-0.2073897254901961,39.63,0.17830338935574228
2020-03-17,Energy,-0.2025255,39.87,-0.2073897254901961
2020-03-18,Energy,-0.04442174603174603,47.78,-0.2025255
2020-03-19,Energy,0.0738375,53.69,-0.04442174603174603
2020-03-20,Energy,-0.04423682051282052,47.79,0.0738375
2020-03-23,Energy,-0.09018888888888889,45.49,-0.04423682051282052
2020-03-24,Energy,0.13875866666666667,56.94,-0.09018888888888889
2020-03-25,Energy,0.014564444444444444,50.73,0.13875866666666667
2020-03-26,Energy,-0.053452,47.33,0.014564444444444444
2020-03-27,Energy,0.16255090476190476,58.13,-0.053452
2020-03-30,Energy,-0.11946599999999999,44.03,0.16255090476190476
2020-03-31,Energy,0.12726500000000002,56.36,-0.11946599999999999
2020-04-01,Energy,-0.05901047619047619,47.05,0.12726500000000002
2020-04-02,Energy,0.21863776923076922,60.93,-0.05901047619047619
